name,description,category,unit,price,labor_hours,material_cost
Standard Diagnostic Service Call,On-site leak investigation and moisture intrusion assessment.,Diagnostics,visit,175,1,33.33
Infrared Thermal Imaging Leak Survey,Thermal scan of building envelope to locate hidden moisture.,Diagnostics,hour,225,1.5,26.67
Destructive Testing Probe,Opening wall assembly to inspect flashing and weather barrier.,Diagnostics,each,350,2,66.67
Water Spray Testing,AAMA standard water spray test to verify window seal integrity.,Diagnostics,hour,250,1.5,43.33
Core Sample Extraction,Extracting masonry core for sealant adhesion testing.,Diagnostics,each,275,1.5,56.67
Adhesion Pull Test,Field testing sealant bond strength to building substrate.,Diagnostics,each,150,1,16.67
Scaffolding Setup and Tear Down,Erecting and dismantling frame scaffolding for high work.,Access & Setup,job,1800,8,533.33
Swing Stage Rigging,Installing and operating temporary suspended scaffolding system.,Access & Setup,day,650,3,183.33
Boom Lift Rental and Operation,Articulating boom lift for high exterior access.,Access & Setup,day,550,2,200
Ladder Safety Setup,Securing extension ladders with standoff stabilizers.,Access & Setup,visit,95,0.5,20
Sidewalk Shed Protection,Constructing pedestrian protection canopy below work zone.,Access & Setup,linear ft,45,0.2,13.33
Ground Protection Matting,Playing temporary mats to prevent lawn and hardscape damage.,Access & Setup,day,120,0.5,38.33
Journeyman Caulker Labor,Standard hourly rate for skilled sealant application labor.,Labor Rates,hour,95,1,0
Master Waterproofing Technician,Specialized labor for complex waterproofing installation.,Labor Rates,hour,125,1,0
Overtime Labor Surcharge,Additional hourly rate multiplier for after-hours work.,Labor Rates,hour,65,1,0
Apprentice Labor Rate,Support labor for material handling and surface prep.,Labor Rates,hour,60,1,0
Project Supervision,On-site quality control and crew management.,Labor Rates,hour,85,1,0
Safety Monitor Labor,Dedicated safety watch for high-angle or confined space work.,Labor Rates,hour,55,1,0
Window Perimeter Joint Removal,Razor scraping and pulling old failing sealant from window frames.,Surface Prep & Removal,linear ft,1.75,0.01,0.5
Expansion Joint Sealant Removal,Mechanical cutting and pulling of degraded joint sealant.,Surface Prep & Removal,linear ft,2.25,0.015,0.5
Substrate Mechanical Grinding,Grinding joint interfaces to ensure proper sealant bonding.,Surface Prep & Removal,linear ft,1.5,0.01,0.2
Solvent Wipe Cleaning,Wiping joint substrates with approved cleaner before priming.,Surface Prep & Removal,linear ft,0.5,0.003,0.15
Wire Brush Masonry Prep,Removing loose debris and laitance from masonry joints.,Surface Prep & Removal,linear ft,0.75,0.005,0.08
Sandblasting Joint Interface,Abrasive blasting of concrete joints for maximum bond.,Surface Prep & Removal,linear ft,3,0.015,0.75
Silicone Sealant Application,Installing high-grade structural silicone joint sealant.,Sealants,linear ft,3.5,0.015,1.15
Urethane Joint Sealant,Applying multi-component polyurethane sealant to concrete joints.,Sealants,linear ft,3.25,0.015,0.95
Hybrid Polymer Sealant,Installing STPU sealant for multi-substrate adhesion.,Sealants,linear ft,3.4,0.015,1
Fire-Rated Joint Sealant,Installing intumescent firestop silicone in rated assemblies.,Sealants,linear ft,5.5,0.02,1.95
Traffic-Grade Expansion Joint Sealant,Installing self-leveling polyurethane sealant for parking decks.,Sealants,linear ft,6,0.02,2.25
Precompressed Foam Sealant,Installing impregnated expanding foam tape for movement joints.,Sealants,linear ft,8.5,0.025,3.5
Acrylic Latex Caulk Application,Applying standard latex caulk for minor non-moving gaps.,Sealants,linear ft,2,0.012,0.33
Backer Rod Installation,Inserting closed-cell polyethylene backer rod into joints.,Sealants,linear ft,1.1,0.006,0.25
Bond Breaker Tape Installation,Applying tape to prevent three-sided adhesion in shallow joints.,Sealants,linear ft,0.85,0.005,0.15
Substrate Primer Application,Brushing chemical primer to enhance sealant adhesion.,Sealants,linear ft,0.95,0.005,0.22
Through-Wall Flashing Repair,Replacing damaged metal or membrane through-wall flashing.,Flashing & Details,linear ft,45,0.25,8.67
Window Head Flashing Installation,Installing drip cap flashing above window openings.,Flashing & Details,linear ft,22,0.12,4.67
EIFS Termination Sealant Detail,Sealing EIFS joints at dissimilar materials and penetrations.,Flashing & Details,linear ft,4.5,0.025,0.93
Control Joint Restoration,Complete removal and replacement of masonry control joints.,Flashing & Details,linear ft,5.25,0.03,0.97
