name,description,category,unit,price
General Pest Control Quarterly Service,Quarterly exterior perimeter spray and interior spot treatment.,Recurring Services,visit,125
General Pest Control Bi-Monthly Service,Bi-monthly exterior barrier spray and web removal.,Recurring Services,visit,95
General Pest Control Monthly Service,Monthly comprehensive pest barrier maintenance.,Recurring Services,visit,75
Initial Pest Control Cleanout,Initial heavy-duty interior and exterior treatment.,Recurring Services,job,225
Commercial Pest Control Monthly,Monthly commercial facility pest inspection and treatment.,Recurring Services,visit,175
German Cockroach Cleanout Initial,Heavy-duty flushout and baiting for German roaches.,Crawling Insects,job,350
German Cockroach Follow-Up,Follow-up treatment for German cockroach elimination.,Crawling Insects,visit,125
Ant Infestation Treatment,Targeted liquid application and baiting for ant colonies.,Crawling Insects,job,175
Pharaoh Ant Treatment,Non-repellent baiting program for Pharaoh ants.,Crawling Insects,job,220
Carpenter Ant Treatment,Drill and treat wall voids and exterior perimeter.,Crawling Insects,job,295
Bed Bug Heat Treatment - Studio,Whole-room thermal remediation for bed bugs.,Bed Bugs,job,750
Bed Bug Heat Treatment - 1 Bedroom,Whole-home thermal remediation for one bedroom.,Bed Bugs,job,950
Bed Bug Heat Treatment - 2 Bedroom,Thermal remediation for two bedroom residence.,Bed Bugs,job,1250
Bed Bug Heat Treatment - 3 Bedroom,Thermal remediation for three bedroom residence.,Bed Bugs,job,1550
Bed Bug Chemical Treatment Initial,Comprehensive liquid and dust application for bed bugs.,Bed Bugs,job,450
Bed Bug Chemical Follow-Up,Secondary chemical application for bed bug lifecycle.,Bed Bugs,visit,200
Bed Bug Canine Inspection,Scent-detection dog sweep for live bed bugs.,Bed Bugs,job,300
Termite Liquid Soil Treatment,Trench and treat perimeter soil for subterranean termites.,Termites,linear ft,9
Termite Bait Station Installation,Install in-ground monitoring and baiting stations.,Termites,each,35
Termite Bait Station Annual Monitoring,Annual service check of in-ground termite stations.,Termites,visit,275
Termite Spot Treatment,Local drill and treat for localized subterranean termites.,Termites,job,250
Drywood Termite Fumigation,Tent fumigation for drywood termite eradication.,Termites,sq ft,4
Wood Destroying Organism Report,Real estate inspection report for termite activity.,Termites,job,150
Pre-Construction Termite Soil Treatment,Pre-slab preventative termiticide application.,Termites,sq ft,0.65
Boric Acid Dusting - Attic,Blow insecticidal dust across open attic flooring.,Attic & Crawlspace,sq ft,0.35
Crawlspace Vapor Barrier Installation,Install 6-mil poly sheeting over crawlspace soil.,Attic & Crawlspace,sq ft,0.85
Crawlspace Dehumidifier Installation,Install moisture control unit in sub-area.,Attic & Crawlspace,each,1450
Attic Insulation Removal,Vacuum out contaminated and soiled blown insulation.,Attic & Crawlspace,sq ft,2.25
Attic Insulation Replacement,Blow in new fiberglass or cellulose insulation.,Attic & Crawlspace,sq ft,2.5
Rodent Exclusion - Small Home,Seal all entry points around foundation and roofline.,Rodents & Wildlife,job,450
Rodent Exclusion - Medium Home,Comprehensive sealing of gaps and weep holes.,Rodents & Wildlife,job,750
Rodent Exclusion - Large Home,Extensive wildlife and mouse proofing for large estates.,Rodents & Wildlife,job,1150
Rodent Bait Station Placement,Secure tamper-resistant exterior rodent stations.,Rodents & Wildlife,each,45
Rodent Bait Station Service,Clean and restock exterior rodent bait boxes.,Rodents & Wildlife,visit,85
Mouse Trap Set and Monitor,Interior snap trap placement and monitoring service.,Rodents & Wildlife,visit,95
Rat Trapping Program Initial,Set and monitor large rodent snap traps.,Rodents & Wildlife,job,225
Raccoon Live Trapping,"Set, monitor, and remove nuisance raccoons.",Rodents & Wildlife,job,350
Squirrel Live Trapping,Trap and relocate squirrels from attic space.,Rodents & Wildlife,job,320
Opossum Live Trapping,Capture and remove nuisance opossum.,Rodents & Wildlife,job,300
Bat Exclusion Service,Install one-way bat doors and seal roosting gaps.,Rodents & Wildlife,job,650
Dead Animal Extraction,Locate and remove dead animal from wall or attic.,Rodents & Wildlife,job,225
Attic Sanitization and Deodorizing,Fog contaminated attic space with enzymatic cleaner.,Rodents & Wildlife,sq ft,0.75
Wasp Nest Removal,Locate and treat aerial wasp or hornet nest.,Stinging Insects,each,125
Yellow Jacket Underground Nest Treatment,Dust and seal subterranean yellow jacket nest.,Stinging Insects,job,175
Hornet Nest Removal,Removal of large paper hornet nest from tree or eave.,Stinging Insects,each,150
