name,description,category,unit,price
Standard Service Call,Dispatch and initial diagnostic fee during business hours,Diagnostics and Service Calls,visit,95
After Hours Service Call,Dispatch and initial diagnostic fee after hours,Diagnostics and Service Calls,visit,175
Holiday Service Call,Dispatch and initial diagnostic fee on holidays,Diagnostics and Service Calls,visit,250
Commercial Service Call,Business premises dispatch and site assessment,Diagnostics and Service Calls,visit,125
Safe Lockout Diagnostic,Initial assessment of locked or jammed safe,Diagnostics and Service Calls,visit,150
Automotive Service Call,Vehicle lockout dispatch and location fee,Diagnostics and Service Calls,visit,95
Standard Locksmith Labor,Hourly labor rate for standard installation or repair,Labor Rates,hour,110
After Hours Labor Rate,Hourly labor rate for evening or weekend work,Labor Rates,hour,165
Specialized High Security Labor,Hourly rate for high-security and access control work,Labor Rates,hour,150
Apprentice Labor Rate,Hourly labor rate for assistant technician,Labor Rates,hour,65
Residential Lockout - Standard,Non-destructive opening of residential keyed door,Emergency Lockouts,each,125
Residential Lockout - Deadbolt,Opening of locked residential deadbolt,Emergency Lockouts,each,145
Commercial Lockout - Storefront,Opening of locked commercial glass or metal door,Emergency Lockouts,each,175
Commercial Lockout - Panic Bar,Emergency opening via commercial exit device,Emergency Lockouts,each,225
Automotive Lockout - Standard,Opening of standard passenger vehicle door,Emergency Lockouts,each,95
Automotive Lockout - Luxury,Opening of high-end or specialized vehicle door,Emergency Lockouts,each,150
Padlock Removal,Cutting off seized or jammed padlock,Emergency Lockouts,each,65
Standard Key Duplication,Copy of standard brass house key,Key Cutting and Duplication,each,3
High-Security Key Duplication,Copy of restricted or patented keyway,Key Cutting and Duplication,each,25
Tubular Key Duplication,Copy of tubular cylindrical key,Key Cutting and Duplication,each,15
Double-Sided Key Duplication,Copy of automotive or specialized double-sided key,Key Cutting and Duplication,each,8
Skeleton Key Fabrication,Custom filing of antique skeleton key,Key Cutting and Duplication,each,75
Key Origination From Code,Cut new key using manufacturer code data,Key Cutting and Duplication,each,45
Impressioning Key,Hand-filing key by reading lock tumblers,Key Cutting and Duplication,each,95
Standard Doorknob Replacement,Supply and install standard keyed entry knob,Locks and Hardware Replacement,each,120
Grade 2 Deadbolt Replacement,Supply and install commercial-grade deadbolt,Locks and Hardware Replacement,each,150
Grade 1 Commercial Deadbolt,Supply and install heavy-duty commercial deadbolt,Locks and Hardware Replacement,each,220
Mortise Lock Body Replacement,Replace internal mortise lock cassette mechanism,Locks and Hardware Replacement,each,280
Mortise Lock Trim Set,Replace exterior trim and handles for mortise lock,Locks and Hardware Replacement,each,190
Rim Cylinder Replacement,Supply and install standard rim cylinder lock,Locks and Hardware Replacement,each,95
Mortise Cylinder Replacement,Supply and install threaded mortise cylinder,Locks and Hardware Replacement,each,110
Cam Lock Replacement,Supply and install cabinet or mailbox cam lock,Locks and Hardware Replacement,each,60
Mailbox Lock Replacement,Drill and replace standard USPS cluster box lock,Locks and Hardware Replacement,each,75
Standard Rekey - First Cylinder,Pin tumbler cylinder rekey including new keys,Rekeying Services,each,35
Standard Rekey - Additional Cylinder,Additional cylinder rekeyed on same visit,Rekeying Services,each,20
High-Security Rekey,Rekeying of restricted patent-protected cylinder,Rekeying Services,each,55
Mortise Cylinder Rekey,Disassemble and rekey threaded mortise cylinder,Rekeying Services,each,40
