name,description,category,unit,price
Standard Labor Rate - Installer,Per hour per fence installation technician,Labor,hour,85
Foreman Labor Rate,Per hour per site supervisor,Labor,hour,115
Overtime Labor Surcharge,Additional hourly charge for weekend or night work,Labor,hour,50
Mobilization and Travel Fee,Per trip fee for job site transit,Labor,visit,150
Site Survey and Layout,Professional boundary layout and marking,Labor,job,450
Core Drilling - Concrete,Core drill hole in existing concrete per post,Labor,each,75
Post Hole Excavation - Manual,Digging post hole by hand in restricted access,Labor,each,95
Post Hole Excavation - Auger,Mechanical auger excavation per post hole,Labor,each,45
Concrete Pour - Post Footing,Ready-mix concrete pour and finish per hole,Labor,each,65
Underground Utility Locating,Private utility locate coordination and service,Labor,job,350
Chain Link Fabric - 6ft Galvanized 9 Gauge,Standard commercial galvanized chain link mesh,Chain Link,linear ft,12
Chain Link Fabric - 8ft Galvanized 9 Gauge,Taller commercial galvanized chain link mesh,Chain Link,linear ft,16
Chain Link Fabric - 6ft Black Vinyl Coated,Vinyl coated black chain link mesh,Chain Link,linear ft,15
Terminal Post - 4in SS40 Galvanized,"End, corner, or pull post for chain link",Chain Link,each,185
Line Post - 2.5in SS40 Galvanized,Intermediate line post for chain link,Chain Link,each,95
Top Rail - 1.625in Galvanized Steel,Horizontal top rail pipe for chain link,Chain Link,linear ft,4
Bottom Tension Wire - 7 Gauge,Galvanized coil wire for bottom security,Chain Link,linear ft,1
Barbar Wire Arms - 3-Strand Single,Security extension arm with three barb strands,Chain Link,each,35
Barbed Wire - 12.5 Gauge Double Strand,Security barbed wire per roll,Chain Link,each,95
Slats - Privacy HDPE Winged,High density polyethylene privacy slats inserted,Chain Link,linear ft,8
Ornamental Iron Panel - 6ft Flat Top,Welded steel ornamental security panel,Ornamental Iron,linear ft,45
Ornamental Iron Panel - 8ft Spear Top,Heavy security steel ornamental panel,Ornamental Iron,linear ft,65
Ornamental Post - 3in Square Steel,Post for ornamental iron fence systems,Ornamental Iron,each,140
Ornamental Post - 4in Square Heavy,Heavy duty gate or corner post for iron,Ornamental Iron,each,220
Ornamental Bracket Set,Mounting brackets and hardware per panel,Ornamental Iron,each,18
Aluminum Fence Panel - 6ft Commercial,Rust-free commercial grade aluminum panel,Ornamental Iron,linear ft,52
Aluminum Post - 2.5in Square,Post for commercial aluminum fencing,Ornamental Iron,each,95
Ramp Up / Stepped Panel Adaptation,Custom racking or stepping for slopes,Ornamental Iron,each,45
Decorative Finial Addition,Pressed spear or ball cap per picket,Ornamental Iron,each,6
Touch-Up Paint - Industrial Enamel,Rust preventive touch up paint spray can,Ornamental Iron,each,25
PVC Privacy Panel - 6ft Tongue and Groove,Commercial grade white vinyl privacy section,Vinyl and Wood,linear ft,42
PVC Post - 5x5 Reinforced Vinyl,Heavy wall structural vinyl post with insert,Vinyl and Wood,each,85
Wood Privacy Panel - 6ft Pressure Treated,Commercial wood board-on-board fence section,Vinyl and Wood,linear ft,32
Wood Post - 6x6 Pressure Treated Pine,Heavy timber post for wood commercial fence,Vinyl and Wood,each,65
Wood Post - 4x4 Pressure Treated Pine,Standard timber post for wood fence,Vinyl and Wood,each,35
Wood Rails - 2x4 Pressure Treated,Horizontal stringer rails per piece,Vinyl and Wood,each,18
Staining Service - Transparent,Professional wood waterproofing and stain application,Vinyl and Wood,sq ft,2
Metal Reinforcement Insert - Vinyl Post,Galvanized steel stiffener for vinyl posts,Vinyl and Wood,each,45
Post Cap - Pyramid Vinyl,External vinyl post cap,Vinyl and Wood,each,8
Post Cap - Galvanized Dome,Pressed steel dome cap for round posts,Vinyl and Wood,each,6
Cantilever Slide Gate - 20ft Opening,Heavy commercial rolling cantilever gate system,Gates and Operators,each,3800
Double Swing Driveway Gate - 20ft,Paired commercial swing gates with drop rod,Gates and Operators,each,2200
Single Walk Gate - 4ft Chain Link,Standard pedestrian walk gate assembly,Gates and Operators,each,450
Single Walk Gate - 4ft Ornamental Iron,Welded ornamental pedestrian entry gate,Gates and Operators,each,650
Slide Gate Track and Roller Assembly,Enclosed track and truck assembly set,Gates and Operators,each,450
